threads,without,with,scheduler,slices
1,41.094750,93.570297,auto
1,41.124538,93.551292,runtime
1,41.193223,93.622985,dynamic
1,41.081181,93.623150,dynamic,1
1,41.115012,93.541439,dynamic,10
1,41.108501,93.516766,dynamic,50
1,41.093511,93.517246,guided
1,41.184863,93.509602,guided,1
1,41.073673,93.578728,guided,10
1,41.063633,93.653116,guided,50
1,41.132970,93.633632,static
1,41.174867,93.552507,static,1
1,41.066126,93.556541,static,10
1,41.104421,93.569520,static,50
2,22.440643,48.447745,auto
2,22.386693,48.376142,runtime
2,22.365113,48.334634,dynamic
2,22.358346,48.245775,dynamic,1
2,22.387820,48.431120,dynamic,10
2,22.299129,48.368665,dynamic,50
2,22.339308,48.371771,guided
2,22.381899,48.394480,guided,1
2,22.365255,48.278726,guided,10
2,22.365315,48.336012,guided,50
2,22.377855,48.329847,static
2,22.387195,48.331544,static,1
2,22.348174,48.367689,static,10
2,22.359445,48.536083,static,50
3,16.252564,33.927969,auto
3,16.310509,34.007583,runtime
3,16.245503,33.967469,dynamic
3,16.233726,33.861127,dynamic,1
3,16.241780,33.825736,dynamic,10
3,16.306862,33.982385,dynamic,50
3,16.236273,33.880617,guided
3,16.216404,33.966730,guided,1
3,16.214937,33.892086,guided,10
3,16.311325,34.013933,guided,50
3,16.294717,33.927497,static
3,16.278703,33.871577,static,1
3,16.262156,33.898777,static,10
3,16.215758,33.885709,static,50
4,13.300006,26.560588,auto
4,13.323289,26.555472,runtime
4,13.302545,26.590167,dynamic
4,13.340342,26.560994,dynamic,1
4,13.331874,26.563814,dynamic,10
4,13.334218,26.560435,dynamic,50
4,13.295582,26.599634,guided
4,13.299150,26.604619,guided,1
4,13.293643,26.555146,guided,10
4,13.335877,26.548492,guided,50
4,13.305607,26.558805,static
4,13.282537,26.572269,static,1
4,13.300252,26.570697,static,10
4,13.301207,26.643188,static,50
5,12.386144,29.540187,auto
5,12.401396,29.556132,runtime
5,12.388597,29.526599,dynamic
5,12.407054,29.534178,dynamic,1
5,12.431925,29.531940,dynamic,10
5,12.399377,29.565760,dynamic,50
5,12.518300,29.525647,guided
5,12.378622,29.549601,guided,1
5,12.400387,29.523392,guided,10
5,12.375695,29.540210,guided,50
5,12.394867,29.529170,static
5,13.083272,30.242660,static,1
5,12.410171,29.539248,static,10
5,12.413469,29.533152,static,50
6,11.545527,25.778838,auto
6,11.569452,25.780104,runtime
6,11.576372,25.805004,dynamic
6,10.824807,25.115437,dynamic,1
6,11.585463,25.792869,dynamic,10
6,11.582839,25.230655,dynamic,50
6,10.792490,25.757026,guided
6,10.831971,25.106116,guided,1
6,10.804721,25.093630,guided,10
6,10.795678,25.018638,guided,50
6,11.631932,25.804182,static
6,10.821150,25.089599,static,1
6,11.575111,25.785209,static,10
6,10.839957,25.114841,static,50
7,10.296543,22.079555,auto
7,10.291341,22.588215,runtime
7,9.833800,22.593838,dynamic
7,10.410561,22.604898,dynamic,1
7,9.825143,22.578361,dynamic,10
7,10.351250,22.594995,dynamic,50
7,10.357232,22.590871,guided
7,10.392313,22.562236,guided,1
7,10.402209,22.601390,guided,10
7,10.395254,22.584128,guided,50
7,10.261362,22.608875,static
7,10.352363,22.579687,static,1
7,10.397114,22.589497,static,10
7,10.130244,22.563682,static,50
8,9.849189,20.780402,auto
8,9.757277,21.007943,runtime
8,9.778353,20.794042,dynamic
8,9.880556,21.524655,dynamic,1
8,9.896923,20.809880,dynamic,10
8,9.839897,20.889483,dynamic,50
8,9.737595,20.878243,guided
8,9.832280,20.857365,guided,1
8,9.752736,20.800669,guided,10
8,9.942065,20.873494,guided,50
8,9.804984,22.185326,static
8,10.333156,20.732816,static,1
8,9.841217,20.862175,static,10
8,9.985457,20.737194,static,50
